Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
20,"(X=-171.09375,Y=91.346733,Z=47.702316)","0.044032","2.052439",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1313.464355,Y=-910.948242,Z=477.023163)","(X=0.092512,Y=-0.02062,Z=0.995498)","(X=-0.978773,Y=-0.032545,Z=-0.202345)","(X=148.310059,Y=101.967117,Z=113.733803)","(Pitch=-7.136687,Yaw=-176.007492,Roll=1.457823)","1.0","1.0","(X=0.007523,Y=-0.05425)","(X=-0.054942,Y=-0.058319)","(X=-0.023656,Y=-0.056281)","True"
21,"(X=-172.48793,Y=90.427834,Z=47.90583)","0.011874","2.064314",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1304.274902,Y=-924.890137,Z=479.058289)","(X=0.158759,Y=-0.010931,Z=0.987257)","(X=-0.978955,Y=-0.034879,Z=-0.201072)","(X=147.935532,Y=101.844086,Z=113.718903)","(Pitch=-7.161009,Yaw=-175.798477,Roll=2.812427)","1.0","1.0","(X=0.008068,Y=-0.052257)","(X=-0.054698,Y=-0.059076)","(X=-0.023257,Y=-0.05566)","True"
22,"(X=-167.043732,Y=90.642349,Z=47.477074)","0.010614","2.074928",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1306.42041,Y=-870.44812,Z=474.770752)","(X=0.003307,Y=-0.009977,Z=0.999945)","(X=-0.978014,Y=-0.034748,Z=-0.205624)","(X=147.883087,Y=101.831497,Z=113.689255)","(Pitch=-7.323513,Yaw=-175.716537,Roll=3.177045)","1.0","1.0","(X=0.009648,Y=-0.056452)","(X=-0.057484,Y=-0.05785)","(X=-0.023861,Y=-0.05715)","True"
23,"(X=-163.73732,Y=89.993484,Z=47.52845)","0.022482","2.09741",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1299.931641,Y=-837.384033,Z=475.284485)","(X=-0.029433,Y=-0.011117,Z=0.999505)","(X=-0.977549,Y=-0.037037,Z=-0.207428)","(X=147.830948,Y=101.798019,Z=113.640663)","(Pitch=-7.457091,Yaw=-175.695526,Roll=3.382384)","1.0","1.0","(X=0.010109,Y=-0.056226)","(X=-0.054807,Y=-0.057377)","(X=-0.022299,Y=-0.056801)","True"
24,"(X=-165.5289,Y=91.700493,Z=47.511574)","0.021141","2.118551",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1317.001953,Y=-855.299805,Z=475.115723)","(X=-0.020042,Y=-0.019657,Z=0.999606)","(X=-0.978019,Y=-0.031288,Z=-0.206154)","(X=147.717865,Y=101.721664,Z=113.539978)","(Pitch=-7.661163,Yaw=-175.756775,Roll=3.277948)","1.0","1.0","(X=0.005658,Y=-0.052815)","(X=-0.057579,Y=-0.0543)","(X=-0.025906,Y=-0.053556)","True"
25,"(X=-170.088608,Y=91.807587,Z=47.618202)","0.021826","2.140376",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1318.072632,Y=-900.896912,Z=476.182007)","(X=0.092835,Y=-0.020258,Z=0.995475)","(X=-0.978731,Y=-0.03024,Z=-0.202906)","(X=147.570267,Y=101.622337,Z=113.473763)","(Pitch=-7.46539,Yaw=-175.728409,Roll=2.8882)","1.0","1.0","(X=0.004092,Y=-0.051155)","(X=-0.058975,Y=-0.055878)","(X=-0.027378,Y=-0.053512)","True"
26,"(X=-179.833191,Y=94.113235,Z=67.475739)","0.02358","2.163957",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1341.128662,Y=-998.342896,Z=674.757385)","(X=0.952016,Y=-0.304968,Z=0.025688)","(X=-0.98999,Y=-0.022538,Z=-0.139325)","(X=147.408569,Y=101.563065,Z=113.529816)","(Pitch=-6.849518,Yaw=-175.578842,Roll=2.766577)","1.0","1.0","(X=-0.009908,Y=-0.015359)","(X=-0.064266,Y=-0.016882)","(X=-0.037031,Y=-0.016119)","True"
27,"(X=-180.461349,Y=91.92025,Z=66.715973)","0.021378","2.185335",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1319.199097,Y=-1004.624512,Z=667.159729)","(X=0.970538,Y=-0.239047,Z=0.030217)","(X=-0.989485,Y=-0.028958,Z=-0.141709)","(X=147.239273,Y=101.510658,Z=113.647461)","(Pitch=-6.241454,Yaw=-175.509338,Roll=3.02303)","1.0","1.0","(X=-0.001668,Y=-0.026645)","(X=-0.064078,Y=-0.023703)","(X=-0.03281,Y=-0.025177)","True"
28,"(X=-179.549576,Y=95.016563,Z=68.136398)","0.022516","2.207851",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1350.162109,Y=-995.506714,Z=681.364014)","(X=0.942484,Y=-0.333824,Z=0.016922)","(X=-0.990252,Y=-0.019632,Z=-0.137896)","(X=147.162918,Y=101.493591,Z=113.632111)","(Pitch=-6.22791,Yaw=-175.748642,Roll=2.975957)","1.0","1.0","(X=-0.005987,Y=-0.023477)","(X=-0.06741,Y=-0.022187)","(X=-0.036629,Y=-0.022834)","True"
29,"(X=-178.894424,Y=96.712318,Z=66.469009)","0.0233","2.231151",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1367.119751,Y=-988.9552,Z=664.690063)","(X=0.932382,Y=-0.36116,Z=0.015047)","(X=-0.989616,Y=-0.014495,Z=-0.143005)","(X=147.119339,Y=101.487549,Z=113.579651)","(Pitch=-6.484069,Yaw=-176.189713,Roll=2.781116)","1.0","1.0","(X=-0.001999,Y=-0.022856)","(X=-0.067966,Y=-0.023339)","(X=-0.034905,Y=-0.023097)","True"
